user_id,items,click
56,"[99, 82, 62, 35, 85, 28, 59, 97, 89, 74]","[1, 0, 1, 1, 0, 0, 1, 1, 1, 0]"
57,"[82, 84, 7, 40, 56, 85, 37, 46, 83, 90]","[1, 0, 0, 0, 0, 1, 1, 1, 1, 1]"
58,"[46, 41, 92, 63, 57, 39, 65, 51, 61, 69]","[0, 1, 1, 0, 1, 1, 0, 1, 1, 1]"
59,"[69, 41, 28, 85, 11, 3, 18, 35, 46, 17]","[1, 1, 0, 1, 1, 1, 1, 1, 1, 1]"
60,"[44, 46, 34, 33, 74, 69, 92, 46, 32, 83]","[1, 0, 1, 1, 1, 1, 0, 0, 0, 1]"
61,"[63, 45, 55, 64, 85, 22, 27, 5, 35, 35]","[0, 0, 1, 0, 1, 1, 1, 1, 1, 1]"
62,"[11, 51, 86, 4, 29, 60, 44, 2, 94, 69]","[1, 0, 1, 1, 0, 1, 0, 1, 0, 1]"
63,"[60, 46, 31, 70, 51, 97, 47, 11, 62, 8]","[0, 1, 1, 1, 0, 1, 1, 0, 1, 1]"
64,"[6, 71, 63, 93, 69, 38, 67, 7, 43, 23]","[0, 0, 1, 1, 1, 0, 1, 1, 0, 0]"
65,"[42, 80, 1, 53, 64, 56, 15, 80, 72, 20]","[1, 1, 0, 1, 1, 0, 1, 1, 1, 0]"
66,"[70, 3, 30, 13, 20, 75, 11, 5, 16, 77]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
67,"[15, 60, 0, 39, 37, 6, 93, 58, 25, 76]","[0, 0, 0, 0, 1, 0, 0, 1, 1, 0]"
68,"[50, 7, 26, 40, 61, 48, 22, 14, 63, 95]","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
69,"[16, 98, 56, 14, 15, 88, 14, 10, 4, 84]","[1, 0, 0, 1, 0, 1, 1, 1, 0, 0]"
70,"[90, 91, 2, 60, 66, 23, 28, 53, 18, 59]","[1, 0, 0, 1, 0, 1, 1, 0, 0, 1]"
71,"[56, 63, 73, 36, 41, 6, 17, 31, 6, 50]","[0, 0, 0, 1, 1, 0, 0, 1, 0, 1]"
72,"[2, 83, 76, 18, 64, 41, 22, 17, 42, 4]","[0, 0, 1, 0, 0, 0, 1, 1, 0, 1]"
73,"[8, 90, 82, 68, 7, 93, 35, 79, 46, 45]","[1, 0, 1, 0, 0, 1, 0, 1, 1, 1]"
74,"[3, 71, 27, 66, 71, 10, 63, 5, 40, 86]","[0, 1, 1, 0, 0, 1, 0, 0, 1, 1]"
75,"[82, 47, 60, 63, 66, 41, 29, 96, 49, 60]","[0, 1, 0, 1, 0, 1, 1, 0, 0, 0]"
76,"[28, 45, 87, 82, 5, 65, 85, 34, 1, 93]","[1, 0, 0, 0, 0, 1, 0, 1, 1, 0]"
77,"[93, 36, 38, 92, 85, 87, 37, 20, 13, 40]","[0, 1, 0, 0, 1, 0, 0, 1, 0, 1]"
78,"[49, 17, 49, 89, 87, 57, 74, 90, 13, 31]","[0, 1, 1, 1, 1, 0, 1, 1, 0, 0]"
79,"[94, 46, 90, 17, 12, 52, 47, 39, 48, 55]","[1, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
80,"[87, 79, 38, 86, 48, 7, 37, 66, 77, 20]","[0, 1, 0, 0, 1, 1, 0, 0, 0, 0]"
81,"[86, 60, 34, 61, 54, 38, 85, 92, 48, 34]","[1, 1, 0, 1, 0, 1, 0, 0, 1, 1]"
82,"[17, 31, 21, 98, 1, 69, 47, 38, 63, 31]","[0, 0, 0, 0, 0, 0, 1, 1, 1, 0]"
83,"[21, 21, 57, 90, 66, 92, 47, 32, 33, 99]","[0, 0, 1, 1, 1, 1, 0, 0, 1, 0]"
84,"[9, 65, 61, 5, 68, 7, 54, 19, 51, 38]","[1, 1, 1, 1, 1, 0, 0, 1, 1, 0]"
85,"[95, 3, 61, 2, 71, 2, 25, 46, 5, 16]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
86,"[56, 92, 3, 59, 4, 0, 75, 38, 6, 20]","[0, 0, 0, 0, 1, 1, 1, 1, 1, 1]"
87,"[59, 80, 89, 94, 27, 75, 64, 33, 25, 52]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
88,"[38, 19, 42, 98, 21, 20, 90, 35, 27, 3]","[1, 0, 1, 0, 0, 1, 1, 0, 1, 1]"
89,"[74, 23, 57, 96, 77, 21, 92, 23, 5, 61]","[0, 0, 1, 1, 1, 1, 0, 0, 1, 1]"
90,"[90, 76, 79, 83, 18, 66, 16, 75, 99, 9]","[1, 1, 0, 0, 0, 0, 1, 1, 0, 0]"
91,"[79, 33, 64, 15, 77, 9, 49, 10, 34, 39]","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
92,"[42, 19, 85, 1, 60, 82, 92, 62, 11, 49]","[1, 0, 1, 1, 0, 0, 0, 0, 1, 0]"
93,"[85, 78, 29, 1, 78, 0, 15, 33, 32, 69]","[0, 0, 1, 1, 0, 0, 1, 1, 1, 0]"
94,"[30, 85, 30, 41, 8, 65, 85, 8, 49, 64]","[1, 0, 0, 1, 1, 1, 0, 1, 0, 1]"
95,"[19, 8, 39, 29, 23, 77, 40, 1, 89, 88]","[0, 1, 0, 0, 0, 1, 1, 1, 0, 1]"
96,"[88, 37, 43, 59, 36, 32, 73, 16, 35, 3]","[1, 1, 0, 1, 0, 0, 1, 1, 1, 1]"
97,"[3, 59, 12, 96, 39, 50, 0, 54, 54, 87]","[1, 1, 1, 0, 1, 0, 0, 1, 1, 1]"
98,"[35, 33, 6, 24, 34, 57, 73, 24, 93, 5]","[0, 0, 1, 0, 0, 0, 0, 1, 0, 1]"
99,"[50, 28, 15, 66, 36, 7, 81, 31, 43, 41]","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
