城市,纬度,经度
辽阳,41.2733,123.1725
林芝,29.6544,94.3623
柳州,24.3255,109.4155
龙岩,25.0751,117.0175
吕梁,37.5193,111.1443
牡丹江,44.552,129.6325
宁波,29.8683,121.543
普洱,22.8252,100.9665
黔西南,25.0894,104.9064
钦州,21.9797,108.6541
青木川,32.5774,106.579
衢州,28.9359,118.8742
三门峡,34.7725,111.2001
汕头,23.3541,116.6822
上海,31.2304,121.4737
神农架,31.7436,110.6759
石家庄,38.0428,114.5149
苏州,31.3016935,120.5810725
随州,31.691143,113.3774967
泰安,36.1930772,117.1289741
天水,34.5809,105.7249
铜陵,30.9474585,117.805068
屯昌,19.362916,110.102773
文山,23.368075,104.246194
芜湖,31.3536127,118.4277477
武威,37.94,102.61
湘西,28.3119,109.7456
信阳,32.1471,114.0926
宣城,30.9407,118.7587
伊春,47.7275,128.8405
银川,38.4872,106.2309
岳阳,29.3561,113.1289
张家界,29.1171,110.4792
长白山,42.0589,128.0846
昭通,27.3383,103.7168
舟山,30.016,122.1069
资阳,30.1286,104.627
遵义,27.7255,106.9272
阿坝,31.8998,102.2247
西双版纳,22.0074,100.797
漳州,24.5135,117.6473
阿拉尔,40.5478,81.2807
安阳,36.0976,114.3924
本溪,41.2942,123.7669
巢湖,31.6233,117.8742
澄迈,19.7385,110.0068
大庆,46.5893,125.1031
德阳,31.1303,104.381
东莞,23.0205,113.7518
佛山,23.0215,113.1214
广安,30.4564,106.6333
哈尔滨,45.8038,126.5349
和田,37.1142,79.9227
黑河,50.2451,127.5286
葫芦岛,40.711,120.836
淮南,32.6255,116.9998
吉安,27.1174,114.9793
焦作,35.2159,113.2418
九江,29.7051,116.0019
克孜勒苏柯尔克孜,39.7153,76.1666
兰州,36.0611,103.8343
连云港,34.5967,119.2229
聊城,36.456,115.9854
陵水,18.505,110.0375
六盘水,26.5934,104.8304
漯河,33.5815,114.0168
绵阳,31.4675,104.6791
南宁,22.817,108.3669
内江,29.58708,105.066138
平顶山,33.766169,113.192661
濮阳,35.71,114.98
黔南,26.258219,107.517021
青岛,36.067082,120.38264
曲靖,25.51,103.79
日照,35.416377,119.526888
山南,29.236023,91.766529
商丘,34.381254,115.616263
深圳,22.5445741,114.0545429
石河子,44.305886,86.041075
松原,45.141789,124.825117
绥化,46.653845,126.968887
太原,37.87059,112.548879
天门,30.663336,113.166149
铜川,34.896756,108.945233
吐鲁番,42.951301,89.189655
温州,27.994267,120.699367
无锡,31.49117,120.31191
武汉,30.593099,114.305392
湘潭,27.829738,112.944049
新余,27.823541,114.923664
许昌,34.035506,113.85264
阳泉,37.856972,113.580519
益阳,28.570066,112.355042
玉溪,24.352036,102.546543
湛江,21.274898,110.364977
长治,36.195386,113.116255
重庆,29.563009,106.551556
驻马店,33.011529,114.022298
雅安,29.980537,103.013261
永州,26.420394,111.612564
南通,31.980172,120.894291
大连,38.914003,121.614682
固原,36.015855,106.24261
阿克苏,41.167548,80.263387
鹤岗,47.349916,130.297964
淮北,33.95479,116.798265
景德镇,29.268836,117.178419
莱芜,36.213814,117.677736
辽源,42.902692,125.145349
梅州,24.288615,116.122239
南阳,32.990833,112.528321
莆田,25.454085,119.007558
秦皇岛,39.935385,119.600492
日喀则,29.267519,88.880583
商洛,33.868319,109.939776
十堰,32.629398,110.798266
宿州,33.6461,116.9639
天津,39.08,117.12
图木舒克,39.867316,79.077978
乌鲁木齐,43.825592,87.616848
新乡,35.3021133,113.9202062
宜春,27.81697,114.4112498
玉林,22.6570263,110.1765019
枣庄,34.52,117.33
长沙,28.228209,112.938814
株洲,27.835806,113.151737
抚州,27.9511188,116.3530413
安顺,26.253072,105.947593
北屯,47.36238,87.80014
常州,31.810157,119.973987
承德,40.951504,117.963402
达州,31.209484,107.467911
德宏,24.436573,98.578363
东方,19.09614,108.651815
防城港,21.614631,108.345478
桂林,25.273566,110.290194
合肥,31.820587,117.227239
呼伦贝尔,49.211575,119.765839
鸡西,45.295075,130.969333
江门,22.578738,113.081901
晋中,37.687024,112.752695
克拉玛依,45.579888,84.889207
丽水,28.46763,119.922796
临沂,35.104672,118.356448
洛阳,34.619683,112.45404
南京,32.060255,118.796877
盘锦,41.119997,122.070714
黔东南,26.58301,107.981003
琼中,19.033369,109.838389
厦门,24.479834,118.089425
绍兴,29.997117,120.582112
四平,43.16642,124.350398
太湖,30.451869,116.305225
通辽,43.65289,122.243444
渭南,34.499995,109.509786
五指山,18.775146,109.516662
咸阳,34.329605,108.708991
徐州,34.205768,117.284124
阳江,21.857958,111.982232
中卫,37.50026,105.196754
亳州,33.844582,115.778676
白银,36.544756,104.138558
甘孜,30.04952,101.96231
巴音郭楞,41.764115,86.145298
巴彦淖尔,40.757402,107.416959
