名字,开放时间,评分,建议游玩时间,门票,来源城市
"省政府旧址Shengzhengfu Site","7：30—17：30",4.2,1.5,40,临沂
"天马岛旅游区Tianma Island Tourist Area","开放时间：4月-10月8:00-18:00；11月-次年3月8:30-16:50。",4.5,3.5,79,临沂
"临沂国际影视城Linyi International Movie City","8:30-16:00",3.8,3,7,临沂
"山东省天宇自然博物馆Shandong Tianyu Museum of Natural History","8:00-17:30（16：30停止售票和入馆）",4.6,1.5,80,临沂
"临沂广播电视塔Linyi Radio and Television Tower","9:00-20:00",4.3,1.5,2,临沂
"沂蒙山旅游区龟蒙景区Guimeng Scenic Area, Yimeng Mountain","8:30-16:30",4.5,72,69,临沂
"沂蒙山根据地Yimeng Mountain Base","8:00-17:00",4.6,1.5,35,临沂
"郯国古城","全年 09:00-17:00",2.7,12,55,临沂
"临沧市博物馆Lincangshi Museum","8:30-18:00（举办临时展览期间）",4.5,0.75,0,临沧
"抗美援朝纪念馆Korean War Memorial Hall","全年 周二-周日 09:00-16:30;全年 周一 全天不开放",4.4,1.5,2,丹东
"青山沟Qingshangou","4月中旬-10月7:00-17:00，11月-次年3月暂停营业。",4.4,72,160,丹东
"鸭绿江断桥Yalu River Broken Bridge","全年 10:00-17:00",4.7,1,298,丹东
"虎山长城Hushan Scenic Spot","4月1日-10月31日7:30-18:00；11月1日-次年3月31日8:00-17:30。",4.6,3.5,55,丹东
"天华山Tianhuashan","全年 07:00-17:00",4.6,72,50,丹东
"天桥沟森林公园Kuandian Tianqiaogou National Forest Park","全年 08:00-16:00",4.6,72,9,丹东
"飞瀑涧Feipujian Waterfall","4/15-10/31 07:00-17:00;11/1-12/31 07:30-16:30;1/1-4/14 全天不开放",4.1,0.4,15,丹东
"安东老街Anton Old Street","全年 09:30-22:30",4.6,2.5,6,丹东
"赛马天锅古洞景区Saima Tianguo Gudong Scenic Area","2/13-12/31 08:00-17:00;1/1-2/12 全天不开放",4.6,2,72,丹东
"仙都景区Xiandu Scenic Area","4月29日-10月31日（旺季） 7:30-17:30；11月1日-次年4月28日（淡季） 8:00-17:00",4.5,108,93.8,丽水
"云和梯田景区Yunhe Rice Terraces","夏季8:00-17:00；冬季8:30-16:30；详情以景区公示为准。",4.8,108,40,丽水
"古堰画乡景区Guyan Huaxiang Scenic Area","全年 08:00-17:30;全年 08:00-16:30",4.5,12,45,丽水
"神龙谷Shenlong Valley","8:00-16:30",4.6,2.5,47,丽水
"中国青瓷小镇·披云青瓷文化园China Celadon Town · Phiyun Celadon Cultural Park","8:30-18:00，具体开放时间详见景区公示。",4.3,3,50,丽水
"石门洞Shimendong","夏令7:30-17:00， 冬令8:00-17:30。",4.5,5,50,丽水
"大木山茶园景区Damu Mountain Tea Garden scenic spot","春季8:30-17:00，夏季8:30-17:30，秋季、冬季8:30-18:00，具体开放时间以景区公告为准或电话咨询景区。",4.5,12,0,丽水
