名字,开放时间,评分,建议游玩时间,门票,来源城市
"天涯海角-平安石","7:30-18:00",4.5,0.5,"票价,三亚
 1、旺季：散客101元，旅行社团队101元，优惠票50元。,三亚
 2、淡季：散客85元，旅行社团队85元，优惠票45元，其中含政府价调基金5元。,三亚
,三亚
 优惠政策,三亚
 1、学生、60-69岁老人、残疾人凭有效证件，身高1.2-1.4米之间儿童，按旺季50元，淡季45元购票入园。,三亚
 2、现役军人、革命伤残军人和离退休军人及70岁（含70岁）以上老人凭有效证件，身高1.2米以下儿童，可免票入园，其他人员免票按国家和省市有关规定执行。,三亚
,三亚
 Tips,三亚
 1、一般地，旺季指的是每年10月1日至次年4月30日，淡季指的是每年5月1日至9月30日。,三亚
 2、每年6月1日定为景区免费开放日，持本省有效证件（户口薄或身份证）可免票入园游览。",三亚
"鹿回头广场Luhuitou Square","全年 全天开放",4.4,0.4,"具体收费情况以景区现场公示为主",三亚
"东瑁洲岛Dongmaozhou Island","全年 全天开放",3.6,5,"{'【海陆空专线】豪华游艇出海3小时含深潜+直升机体验(多套餐)\n\n': ['¥150起'], '海南三亚凤凰岛直升机飞行体验-凤凰岛出发\n\n': ['¥98起']}",三亚
"千里伞Qianli Umbrella Scenic Spot","全年 07:30-18:00",4.5,0.75,"包含在热带天堂森林公园门票内，通用于热带天堂森林公园门票。",三亚
"南极冰上乐园Antarctic Ice Park","目前景区暂时停业具体开放时间可见景区公示。",5,2.5,"目前景区暂时停业具体开放时间可见景区公示。",三亚
"大金湖Dajin Lake","夏季（5月1日-10月7日）8:00-14:30；冬季（10月8日-次年4月30日）8:00-14:00；节假日景区正常开放，其中景区内各景点开放时间详见景区现场公示。",4.2,4.5,"{'大金湖门票+游船票+船上讲解服务成人票\n\n': ['¥203起'], '大金湖船票(含门票+人工讲解)门票成人票\n\n': ['¥163起'], '大金湖电子导览服务大小同价\n\n': ['¥6起']}",三明
"侠天下景区Xiatianxia Scenic Area","全年 08:00-17:00",4.2,12,"{'侠天下景区+悬崖宝剑电梯+通天福手+双层玻璃悬桥票成人票\n\n': ['¥188起'], '侠天下景区+悬崖宝剑电梯+通天福手+双层玻璃悬桥票优待票\n\n': ['¥128起'], '侠天下旅游区门票+游玩套票优待票\n\n': ['¥128起']}",三明
"九龙潭Nine Dragon Pond","8:00-16:00",4.5,1,"{'九龙潭门票+水上竹筏+玻璃栈道+观光车票成人票\n\n': ['¥100起'], '九龙潭+水上竹筏+玻璃栈道+观光车票儿童票\n\n': ['¥83起'], '九龙潭+水上竹筏+玻璃栈道+观光车票学生票\n\n': ['¥90起']}",三明
"玉华洞Yuhua Cave","全年 08:15-16:50;全年 08:15-16:30",4.4,2.5,"{'玉华洞门票成人票\n\n': ['¥90起'], '玉华洞门票儿童票\n\n': ['¥47.5起'], '玉华洞门票老人票\n\n': ['¥47.5起']}",三明
"明清园Mingqing Park (West Gate)","8:00-17:30",4.4,2.5,"60元",三明
"尚书第Shangshu Mansion","8:30-17:30",4.6,2.5,"{'尚书第门票成人票\n\n': ['¥16.8起'], '尚书第门票老人票\n\n': ['¥10起'], '尚书第门票双人票\n\n': ['¥31.5起']}",三明
"三明九阜山Jiufu Mountain","全年 8:00-17:00",4.4,12,"20元",三明
"上清溪Shangqing Rivulet","夏季（6月1日-10月31日）7:30-16:00；冬季（11月1日-次年5月31日）8:30-15:00；",4.4,2.75,"{'上清溪门票+竹筏+环保车票成人票\n\n': ['¥130起'], '上清溪门票+寨下大峡谷门票成人票\n\n': ['¥170起'], '大金湖门票+上清溪（含景交）门票成人票\n\n': ['¥278起']}",三明
"状元岩Number One Scholar Rock","6月1日-10月31日8:00-16:00；11月1日-次年5月31日8:00-14:30。",4.6,1.5,"{'状元岩门票+观光车票成人票\n\n': ['¥21.97起'], '状元岩电子导览服务大小同价\n\n': ['¥5起']}",三明
"鳞隐石林Fujian Linyin Stone Forest","8:00-17:00",4.2,1,"{'鳞隐石林门票成人票\n\n': ['¥44起'], '桃源洞门票成人票\n\n': ['¥54起'], '鳞隐石林电子导览服务大小同价\n\n': ['¥6起']}",三明
"天鹅洞群Swan Cave Group","4月1日-10月31日8:00-17:00；11月1日-次年3月31日8:30-16:30。",4.6,1,"{'天鹅洞群门票成人票\n\n': ['¥65起'], '天鹅洞电子导览服务大小同价\n\n': ['¥7起']}",三明
"水上一线天Yixiantian over the Water","8：00-18：00",4,72,"1.80元",三明
"客家祖地Kejia Zudi","8:30-16:30",4.4,2,"{'客家祖地门票成人票\n\n': ['¥36起'], '客家祖地门票优待票\n\n': ['¥20起'], '客家祖地电子导览服务大小同价\n\n': ['¥8起']}",三明
"尤溪武洋花天下",,5,12,"10元",三明
"银屿岛Yinyu Island","全年 全天开放",4.5,3.5,"{'西沙群岛旅游邮轮4天3晚海南三沙航线三亚自由行长乐公主号跟团\n\n': ['¥5980起']}",三沙
"函谷关历史文化旅游区Hangu Pass Historical and Cultural Tourism Zone","全年 08:00-19:00",4.3,12,"{'函谷关历史文化旅游区门票成人票\n\n': ['¥70起'], '函谷关历史文化旅游区门票优待票\n\n': ['¥35起'], '函谷关电子导览服务大小同价\n\n': ['¥9起']}",三门峡
"双龙湾景区Shuanglong Scenic Bay","8:00-18:00",4.2,4,"{'双龙湾景区门票成人票\n\n': ['¥65起']}",三门峡
"虢国博物馆Guo State Museum","全年 09:00-17:30",4.4,2.5,"50元",三门峡
"灵宝娘娘山景区Lingbao Niangniang Mountain","全年 7:00-19:00",4.4,3.5,"{'灵宝娘娘山门票成人票\n\n': ['¥35起'], '娘娘山电子导览服务大小同价\n\n': ['¥6起']}",三门峡
"仰韶大峡谷The Grand Canyon of Yangshao","8:00-18:00",4.1,3.5,"68元",三门峡
"甘山国家森林公园Ganshan Forest Park","全年 09:00-16:00",4.5,3.5,"{'甘山国家森林公园电子导览服务大小同价\n\n': ['¥9起']}",三门峡
"太初圣宫","全年 8:00-18:00",4.5,1.5,"包含于函谷关历史文化旅游区内，通用函谷关历史文化旅游区门票。",三门峡
"空相寺Kongxiang Temple","全年 09:00-17:00",5,1.5,"30元",三门峡
"上海迪士尼度假区Shanghai Disney Resort","11/25-11/25 周四 09:00-20:30;11/26-11/26 周五 09:00-20:00;11/27-11/27 周六 09:00-20:30;11/28-11/28 周日 09:00-20:30;11/29-11/29 周一 09:00-20:00;11/30-12/5 周二-周日 09:00-20:30",4.7,108,"{'上海迪士尼乐园1日门票成人票\n\n': ['¥397起'], '上海迪士尼乐园1日门票儿童票\n\n': ['¥307起'], '上海迪士尼乐园1日门票老人票\n\n': ['¥308起']}",上海
"外滩The Bund","全天开放",4.8,1.5,"{'“水晶公主”黄浦江游船游船浦江夜游+自助餐票成人票\n\n': ['¥378起'], '“龙船”黄浦江游船+自助餐票\n\n': ['¥265起'], '外滩观光隧道往返票成人票\n\n': ['¥60起']}",上海
"武康路Wukang Road","全年 全天开放",4.7,3.5,"{'武康路2小时大咖精讲服务大小同价\n\n': ['¥118起'], '武康路中高级导游私享人工讲解服务大小同价\n\n': ['¥168起'], '武康路90分钟专业导游无线耳麦深度讲解成人票\n\n': ['¥99起']}",上海
"上海海洋水族馆Shanghai Ocean Aquarium","9/1-6/30 09:00-18:00;7/1-8/31 09:00-21:00;国庆节 09:00-21:00",4.6,2,"{'上海海洋水族馆日场门票成人票\n\n': ['¥155起'], '上海海洋水族馆日场门票儿童票\n\n': ['¥105起'], '金茂大厦88层观光厅+上海海洋水族馆联票\n\n': ['¥225起']}",上海
"朱家角古镇景区Zhujiajiao Ancient Town Scenic Area","全天开放，其中景区内景点时间详见景区公示。",4.5,26.4,"{'朱家角古镇""角里风情游""套票大小同价\n\n': ['¥40起'], '朱家角古镇""艺术文展游""套票大小同价\n\n': ['¥60起'], '朱家角古镇景区7景点联票成人票\n\n': ['¥75起']}",上海
"上海自然博物馆Shanghai Natural History Museum","全年 周二-周日 09:00-17:00;01/01-12/31 周一 全天不开放 ;中国法定节假日 09:00-17:00",4.8,12,"{'上海自然博物馆门票成人票\n\n': ['¥44.3起'], '上海自然博物馆导览服务大小同价\n\n': ['¥2起'], '上海自然博物馆探秘自然-大咖讲解服务成人票\n\n': ['¥187起']}",上海
"东方明珠Oriental Pearl Radio & Television Tower","1/1-9/30 09:00-21:00;10/1-10/7 08:00-22:00;10/8-12/31 09:00-21:00",4.7,2.5,"{'东方明珠看上海观光票成人票\n\n': ['¥195起'], '东方明珠看上海三球联票成人票\n\n': ['¥220起'], '东方明珠看上海三球联票儿童票\n\n': ['¥110起']}",上海
"田子坊Tianzifang","全天开放",4.4,3.5,"{'独角兽星空艺术馆 田子坊旗舰店门票成人票\n\n': ['¥35起'], '独角兽星空艺术馆 田子坊旗舰店门票儿童票\n\n': ['¥39起'], '独角兽星空艺术馆 田子坊旗舰店门票学生票\n\n': ['¥45起']}",上海
"上海海昌海洋公园Shanghai Haichang Ocean Park","11/1-11/30 周一-周五 09:30-17:30;11/1-11/30 周六-周日 09:30-18:00;12/1-12/31 周一-周五 10:00-17:00;12/1-12/31 周六-周日 09:30-17:30;12/24-12/26 周五-周日 09:30-20:00",4.6,12,"{'上海海昌海洋公园特惠票成人票\n\n': ['¥254起'], '上海海昌海洋公园特惠票儿童票\n\n': ['¥127.8起'], '上海海昌海洋公园特惠票学生票\n\n': ['¥129起']}",上海
"上海科技馆Shanghai Science and Technology Museum","全年 周二-周日 09:00-17:00;全年 周一 全天不开放 ;中国法定节假日 08:30-17:30",4.7,4,"{'上海科技馆上午场+豫园星空梦幻馆门票成人票\n\n': ['¥88起'], '东方明珠看上海·观光票+上海科技馆门票成人票\n\n': ['¥243起'], '上海科技馆电子导览服务大小同价\n\n': ['¥3.2起']}",上海
"上海中心大厦Shanghai Tower","全年 全天开放",4.6,3.5,"进入大厦免费，高层观光厅等收费项目单独收费，具体可电话咨询。",上海
"上海博物馆Shanghai Museum","9:00-17:00，16:00后停止入场（每周一闭馆，除国定假日外）。",4.7,4.5,"{'上海博物馆门票(代预约)+金牌导游私享人工讲解服务大小同价\n\n': ['¥796起'], '上海博物馆特展+青铜馆2小时深度讲解(含免费预约票)服务大小同价\n\n': ['¥121起'], '上海博物馆青铜馆+陶瓷馆人工讲解2小时票大小同价\n\n': ['¥139起']}",上海
"豫园Yu Garden","全年 周二-周日 09:00-16:30;全年 周一 全天不开放 ;中国法定节假日 09:00-16:30",4.7,1.5,"{'豫园门票成人票\n\n': ['¥30起'], '豫园门票学生票\n\n': ['¥15起'], '豫园门票老人票\n\n': ['¥15起']}",上海
"上海野生动物园Shanghai Wild Animal Park","3/1-6/30 09:00-17:00;7/1-8/31 09:00-20:00;9/1-11/30 09:00-17:00;12/1-2/28 09:00-16:30",4.7,12,"{'上海野生动物园门票成人票\n\n': ['¥156.5起'], '上海野生动物园门票学生票\n\n': ['¥82.5起'], '上海野生动物园门票老人票\n\n': ['¥82.5起']}",上海
"顾村公园Gucun Park","全年 06:00-18:00",4.6,3.5,"{'顾村公园门票+顾村公园自然谷恐龙乐园门票成人票\n\n': ['¥49起'], '顾村公园门票+顾村公园自然谷恐龙乐园门票亲子票(1大1小)\n\n': ['¥80起'], '顾村公园门票+顾村公园自然谷恐龙乐园门票双人票\n\n': ['¥99起']}",上海
"上海环球金融中心Shanghai World Financial Center","1/2-6/30 11:00-21:00;国庆节,劳动节 10:00-22:00;7/1-8/31 11:00-22:00;9/1-12/31 11:00-20:00;10/9-10/9 11:00-18:00",4.7,2.5,"大楼免费进入，观光厅另收费。",上海
"上海辰山植物园Shanghai Chenshan Botanical Garden","全年 周一-周四,周日 10:00-17:30",4.7,4.5,"{'辰山植物园门票成人票\n\n': ['¥60起'], '上海辰山植物园探秘之春日奇遇记大小同价\n\n': ['¥89.9起'], '辰山植物园手机智能导游语音讲解服务大小同价\n\n': ['¥2.5起']}",上海
"龙美术馆西岸馆Long Museum (West Bund)","全年 周日 09:00-18:00;全年 周一-周三 10:00-18:00;全年 周四-周五 10:00-21:00",4.6,2.5,"50元",上海
"横沙岛Hengsha Island","全年 7:00-22:00",4.5,72,"{'【长江双岛】横沙岛+长兴岛(坐船渡长江,抓螃蟹,纯玩无购物)\n\n': ['¥99起']}",上海
"南京路步行街Nanjing Road Pedestrian Street","全天开放",4.7,2.5,"{'上海星空艺术馆门票\n\n': ['¥49.9起'], '上海星空艺术馆门票儿童票\n\n': ['¥45起'], '上海星空艺术馆门票学生票\n\n': ['¥45起']}",上海
"静安寺Jing'an Temple","全年 7:30-17:00",4.6,1.5,"{'静安寺电子导览服务大小同价\n\n': ['¥5起']}",上海
"泰晤士小镇Thames Town","全年 全天开放",4.5,144,"{'泰晤士小镇电子导览票大小同价\n\n': ['¥6起'], '【酒店套餐】上海松江假日酒店1晚+双人自助早餐+双人蓝精灵乐园门票★周末五一不加价\n\n': ['¥649起']}",上海
"上海之巅观光厅Top of Shanghai Observatory","1/1-4/2 08:30-21:00;4/3-12/31 08:30-22:00",4.6,2.5,"{'上海之巅观光厅118层上海之巅观光票成人票\n\n': ['¥180起'], '上海之巅观光厅118层上海之巅观光票大小同价\n\n': ['¥156.8起'], '上海之巅观光厅118层上海之巅观光票儿童票\n\n': ['¥90起']}",上海
"陆家嘴Lujiazui","全天开放",4.8,3.5,"{'浦东美术馆2022OPENING门票成人票\n\n': ['¥100起'], '浦东美术馆2022OPENING门票优待票\n\n': ['¥80起'], '浦东美术馆2022OPENING门票家庭票(2大1小)\n\n': ['¥200起']}",上海
